id,suhu,kelembapan,gas,waktu
62,26,59,201,2025-07-02 09:41:18.801222+00
63,26.1,59,201,2025-07-02 09:41:33.801222+00
64,26.1,59,202,2025-07-02 09:41:48.801222+00
65,26.1,59,202,2025-07-02 09:42:03.801222+00
66,26.1,59,204,2025-07-02 09:42:18.801222+00
67,26.1,59,198,2025-07-02 09:42:33.801222+00
68,26.1,59,199,2025-07-02 09:42:48.801222+00
69,26,59,196,2025-07-02 09:43:03.801222+00
70,26.1,59,197,2025-07-02 09:43:18.853303+00
71,26.1,59,199,2025-07-02 09:43:51.121342+00
72,26.1,59,199,2025-07-02 09:44:06.481158+00
73,26,59,199,2025-07-02 09:44:38.481147+00
74,26,59,197,2025-07-02 09:44:53.890986+00
75,26,59,196,2025-07-02 09:45:26.000959+00
76,26,59,197,2025-07-02 09:45:41.318904+00
77,26,59,197,2025-07-02 09:46:13.410882+00
78,26,59,197,2025-07-02 09:46:28.690771+00
79,26,59,198,2025-07-02 09:47:01.130764+00
80,26,59,199,2025-07-02 09:47:16.472692+00
81,25.9,59,198,2025-07-02 09:47:48.590617+00
82,25.9,59,197,2025-07-02 09:48:04.454479+00
83,26,59,198,2025-07-02 09:48:36.310647+00
84,26,59,196,2025-07-02 09:48:51.59462+00
85,26,59,198,2025-07-02 09:49:23.874407+00
86,26,59,197,2025-07-02 09:49:39.192629+00
87,26,59,197,2025-07-02 09:50:11.362731+00
88,26,59,198,2025-07-02 09:50:26.672602+00
89,26,59,197,2025-07-02 09:50:58.851897+00
90,26,59,196,2025-07-02 09:51:14.148399+00
91,26,59,197,2025-07-02 09:51:46.098187+00
92,25.9,59,197,2025-07-02 09:52:01.408175+00
93,25.9,59,197,2025-07-02 09:52:33.488271+00
94,25.9,59,198,2025-07-02 09:52:48.778301+00
95,25.9,59,197,2025-07-02 09:53:21.490019+00
96,25.9,59,197,2025-07-02 09:53:36.409827+00
97,25.9,59,198,2025-07-02 09:54:08.565875+00
98,26,59,199,2025-07-02 09:54:23.847785+00
99,26,59,200,2025-07-02 09:54:55.809797+00
100,26,59,208,2025-07-02 09:55:11.130195+00
101,26,59,201,2025-07-02 09:55:43.333686+00
102,26,59,201,2025-07-02 09:55:58.667834+00
103,26,59,200,2025-07-02 09:56:30.817775+00
104,26,59,201,2025-07-02 09:56:46.22979+00
105,26,59,200,2025-07-02 09:57:18.347713+00
106,25.9,59,200,2025-07-02 09:57:33.63768+00
107,25.9,59,201,2025-07-02 09:58:06.107695+00
108,25.9,59,201,2025-07-02 09:58:21.417703+00
109,25.9,59,200,2025-07-02 09:58:53.959127+00
110,25.9,59,200,2025-07-02 09:59:08.729047+00
111,25.9,59,200,2025-07-02 09:59:40.968924+00
112,25.9,59,200,2025-07-02 09:59:56.277057+00
113,25.9,59,200,2025-07-02 10:00:28.293993+00
114,25.9,59,201,2025-07-02 10:00:43.559065+00
115,25.9,59,200,2025-07-02 10:01:15.655015+00
116,25.9,59,201,2025-07-02 10:01:30.947304+00
117,26,59,201,2025-07-02 10:02:03.137986+00
118,26,59,200,2025-07-02 10:02:18.466995+00
119,26.1,59,200,2025-07-02 10:02:50.568241+00
120,26.1,59,200,2025-07-02 10:03:05.889131+00
121,26.1,59,200,2025-07-02 10:03:38.019358+00
122,26.1,59,200,2025-07-02 10:03:53.348961+00
123,26.1,59,200,2025-07-02 10:04:25.98176+00
124,26,59,200,2025-07-02 10:04:40.810258+00
125,26,59,199,2025-07-02 10:05:12.841581+00
126,26,59,199,2025-07-02 10:05:28.148774+00
127,26,59,200,2025-07-02 10:06:00.250614+00
128,26,59,199,2025-07-02 10:06:15.580433+00
129,26,59,199,2025-07-02 10:06:47.670657+00
130,26,59,199,2025-07-02 10:07:02.980515+00
131,26.1,59,199,2025-07-02 10:07:35.070232+00
132,26.1,59,199,2025-07-02 10:07:50.401321+00
133,26.1,59,199,2025-07-02 10:08:22.434442+00
134,26.1,59,199,2025-07-02 10:08:37.788347+00
135,26.1,59,199,2025-07-02 10:09:09.940715+00
136,26.1,59,199,2025-07-02 10:09:25.220736+00
137,26.1,59,198,2025-07-02 10:09:57.800085+00
138,26.1,59,199,2025-07-02 10:10:12.589883+00
139,26.1,59,199,2025-07-02 10:10:44.829927+00
140,26.1,59,199,2025-07-02 10:11:00.150091+00
141,26.1,59,199,2025-07-02 10:11:32.249841+00
142,26.1,59,200,2025-07-02 10:11:47.568009+00
143,26.1,59,200,2025-07-02 10:12:19.716076+00
144,26.1,59,200,2025-07-02 10:12:35.017979+00
145,26.1,59,199,2025-07-02 10:13:07.038993+00
146,26.1,59,199,2025-07-02 10:13:22.358493+00
147,26.1,59,199,2025-07-02 10:13:54.804972+00
148,26.1,59,199,2025-07-02 10:14:10.122079+00
149,26.1,59,199,2025-07-02 10:14:42.132612+00
