id,suhu,kelembapan,gas,waktu
448,25.6,68,252,16:26.0
449,25.6,69,253,15:54.1
450,25.6,69,250,15:38.9
451,25.6,69,253,15:07.0
452,25.6,69,253,14:51.7
453,25.6,69,254,14:19.7
454,25.6,69,255,14:04.5
455,25.6,69,249,13:32.4
456,25.6,69,248,13:17.8
457,25.6,69,253,10:20.6
458,25.6,69,253,10:05.3
459,25.6,70,255,09:33.1
460,25.6,70,255,09:17.9
461,25.6,70,256,08:46.0
462,25.6,70,256,08:30.6
463,25.6,70,288,07:58.4
464,25.6,70,268,07:44.0
465,26.2,57,320,58:14.3
466,26.2,57,319,57:59.7
467,26.9,53,307,42:54.1
468,26.9,53,307,42:39.2
469,27,55,309,41:45.6
470,27,55,310,41:30.0
471,26.8,55,319,40:52.4
472,26.8,54,300,40:37.2
473,26.8,54,307,40:04.9
474,26.8,54,310,39:49.8
475,26.7,54,277,39:18.9
476,26.7,54,286,39:02.9
477,26.7,54,300,38:26.6
478,26.6,54,296,38:12.8
479,26.6,54,308,37:39.3
480,26.6,54,333,37:23.9
481,26.6,54,330,36:52.1
482,26.6,54,334,36:37.3
483,26.6,54,352,36:04.7
484,26.6,54,309,35:49.2
485,26.6,54,314,35:17.2
486,26.6,54,318,35:01.9
487,26.6,54,327,34:30.0
488,26.6,54,331,34:14.7
489,26.6,53,345,33:42.7
490,26.6,53,368,33:27.3
491,26.6,53,294,32:55.3
492,26.6,53,294,32:41.7
493,26.6,53,294,32:07.9
494,26.7,53,293,31:52.5
495,26.7,53,294,31:20.7
496,26.7,53,293,31:05.1
497,26.8,53,292,30:33.2
498,26.8,53,292,30:17.8
499,26.8,53,293,29:45.9
500,26.8,53,292,29:30.8
501,26.9,53,291,28:58.4
502,26.9,53,291,28:43.3
503,26.8,53,277,28:10.5
504,26.7,53,273,27:55.5
505,26.7,53,274,27:23.2
506,26.7,53,278,27:09.2
507,26.7,53,290,26:36.0
508,26.7,53,290,26:20.9
509,26.7,52,290,25:48.8
510,26.7,52,290,25:33.6
511,26.7,52,290,25:01.7
512,26.7,52,290,24:46.4
513,26.7,52,291,24:14.5
514,26.7,52,291,23:58.9
515,26.8,52,291,23:27.0
516,26.8,52,291,23:11.4
517,26.9,52,292,22:39.6
518,26.9,52,292,22:24.0
519,27,52,294,21:51.9
520,27,52,293,21:37.6
521,26.9,52,296,21:04.6
522,26.9,52,296,20:49.4
523,26.9,53,297,20:17.5
524,26.8,53,296,20:02.2
525,26.8,53,296,19:30.2
526,26.8,53,293,19:14.8
527,26.8,53,291,18:42.8
528,26.8,53,292,18:27.6
529,26.8,53,294,17:55.5
530,26.8,53,297,17:39.9
531,26.8,53,309,17:07.9
532,26.7,53,256,16:52.6
533,26.7,53,253,16:20.3
534,26.7,53,253,16:06.1
535,26.7,53,267,15:33.1
536,26.7,53,268,15:17.8
537,26.7,53,256,14:45.7
538,26.6,53,261,14:30.4
539,26.6,53,264,13:58.4
540,26.6,53,265,13:43.2
541,26.6,53,262,13:11.1
542,26.6,53,265,12:55.8
543,26.6,53,265,12:23.9
544,26.6,53,264,12:08.7
545,26.6,53,264,11:36.6
546,26.6,53,261,11:21.4
547,26.6,53,267,10:49.2
548,26.6,53,273,10:34.6
549,26.6,53,273,10:02.1
550,26.6,53,274,09:47.1
551,26.7,53,273,09:14.7
552,26.7,53,274,08:59.5
553,26.7,53,273,08:27.2
554,26.7,53,272,08:11.9
555,26.6,53,272,07:39.7
556,26.6,53,271,07:24.6
557,26.6,53,273,06:53.2
558,26.6,53,273,06:37.1
559,26.6,53,259,06:05.7
560,26.6,53,262,05:49.9
561,26.6,53,272,05:17.4
562,26.5,53,272,05:02.8
563,26.5,53,270,04:30.2
632,21,48,189,00:31.3
633,20.9,48,195,00:45.7
634,18.7,60,218,53:09.9
635,18.4,61,217,53:22.9
636,18.1,62,216,53:38.2
637,17.9,63,201,53:53.4
638,17.7,63,190,54:08.5
639,17.5,64,205,54:23.7
640,17.4,65,210,54:38.8
641,17.2,65,213,54:53.9
642,17.2,66,212,55:09.0
643,17.1,67,214,55:24.2
644,17,67,214,55:39.3
645,17,67,213,55:54.4
646,16.9,68,214,56:09.5
647,16.9,68,214,56:24.7
648,16.9,68,214,56:39.8
649,16.8,68,214,56:54.9
650,16.8,68,214,57:10.1
651,16.8,69,214,57:25.2
652,16.8,69,214,57:40.3
653,16.8,69,211,57:55.5
654,16.8,69,210,58:11.4
655,16.8,69,210,58:25.7
